id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome
washout-woods-mcallister-south,Washout Woods (McAllister South),Lafayette,Tippecanoe County,"Tippecanoe County, IN",IN,USA,18,,40.4350547,-86.8772298,47904,378.735,7430,272924,36732.70525,52806.0
forest-park-disc-golf-course,Forest Park Disc Golf Course,Brazil,Clay County,"Clay County, IN",IN,USA,18,3.0,39.5138816,-87.1212463,47834,73.468,8610,450499,52322.76423,56422.0
wild-west-wabash,Wild West Wabash,Clay City,Clay County,"Clay County, IN",IN,USA,9,,39.263130100000005,-87.1284027,47841,73.468,930,44619,47977.41935,56422.0
france-park,France Park,Logansport,Cass County,"Cass County, IN",IN,USA,18,5.0,40.7571494,-86.4921517,46947,92.402,12890,589509,45733.82467,50419.0
frank-merry-park,Frank Merry Park,Dunkirk,Delaware County,"Delaware County, IN",IN,USA,18,,40.3570647,-85.2865176,47336,294.846,1580,69245,43825.94937,46612.0
lions-club-park,Lions Club Park,Yorktown,Delaware County,"Delaware County, IN",IN,USA,24,3.0,40.172601799999995,-85.479652,47396,294.846,3590,263941,73521.16992,46612.0
prairie-creek-reservoir-disc-golf-course,Prairie Creek Reservoir Disc Golf Course,Selma,Delaware County,"Delaware County, IN",IN,USA,9,,40.1327432,-85.27930970000001,47383,294.846,1330,76189,57284.96241,46612.0
grace-college-disc-golf-course,Grace College Disc Golf Course,Winona Lake,Kosciusko County,"Kosciusko County, IN",IN,USA,9,,41.226909,-85.8163112,46590,148.304,2100,167883,79944.28571,62269.0
harrison-fitness-trail-disc-golf-course,Harrison Fitness Trail Disc Golf Course,Warsaw,Kosciusko County,"Kosciusko County, IN",IN,USA,9,,41.2552674,-85.8216707,46582,148.304,6530,438895,67212.09801,62269.0
lucerne-park,Lucerne Park,Warsaw,Kosciusko County,"Kosciusko County, IN",IN,USA,9,,41.2470185,-85.84926340000001,46580,148.304,10520,639857,60822.90875,62269.0
haubstadt-johnson-township-disc-golf-course,Haubstadt Johnson Township Disc Golf Course,Haubstadt,Gibson County,"Gibson County, IN",IN,USA,18,,38.1956753,-87.5646635,47639,68.917,2280,180231,79048.68421,59074.0
